Ticket ID,Date Submitted,Customer Name,Email,Issue Description,Status,Resolution Notes
TCKT020,2024-07-13,Harper Green,harpergreen@email.com,Game performance issues on specific hardware,Closed,"Provided optimized settings for customer's hardware configuration. Follow-up email sent with performance improvement suggestions. Advised to monitor gameplay."
TCKT021,2024-07-14,Alexander Baker,alexanderbaker@email.com,Incorrect product received,Closed,"Initiated return process for incorrect product. Provided return label and instructions. Confirmed replacement order processing. Follow-up email with tracking details sent."
TCKT022,2024-07-15,Abigail Brooks,abigailbrooks@email.com,Delayed delivery of pre-ordered game,Closed,"Investigated shipment delay. Provided revised delivery estimate and confirmed order status. Follow-up email with tracking details sent upon shipment."
TCKT023,2024-07-16,Daniel Ward,danielward@email.com,Game download interrupted due to network error,Open,"Investigated network error during download. Provided alternative download link. Monitored download progress and confirmed completion."
TCKT024,2024-07-17,Victoria Powell,victoriapowell@email.com,Issue with promotional code not applying discount,Closed,"Manually applied discount to customer's order. Confirmed adjustment and updated billing amount. Confirmation email with revised order summary sent."
TCKT025,2024-07-18,Nathan Kelly,nathankelly@email.com,Request for refund due to compatibility issues,Closed,"Processed refund request for incompatible game. Confirmation email sent. Instructed customer to check bank statement for refund processing timeline."
TCKT026,2024-07-19,Elizabeth Long,elizabethlong@email.com,Inquiry about game compatibility with specific operating system,Open,"Confirmed game compatibility with specified OS version. Provided system requirements and compatibility details. Advised customer on optimal settings."
TCKT027,2024-07-20,Christopher Torres,christophertorres@email.com,Unauthorized purchase on account,Closed,"Investigated and confirmed unauthorized purchase. Issued refund and secured account. Follow-up email with account security tips sent to prevent future issues."
TCKT028,2024-07-21,Madison Hughes,madisonhughes@email.com,Request for order status update,Open,"Checked current status of customer's order. Provided tracking information and estimated delivery date. Advised customer to monitor shipment progress."
TCKT029,2024-07-22,Gabriel Price,gabrielprice@email.com,Difficulty redeeming gift card code,Closed,"Assisted with gift card redemption process. Verified code application and confirmed balance. Follow-up email with confirmation sent to customer."
TCKT030,2024-07-23,Samantha Evans,samanthaevans@email.com,Issue with digital game activation key,Closed,"Resent digital game activation key to registered email address. Confirmed successful delivery and activation instructions provided. Follow-up email with game details sent."
